Indicator Code,Indicator Type,Indicator Category,Indicator Name,Sub-indicator Name,Sub-indicator Parameter,Sub-indicator Unit,Member State Code,Member State Name,Time Period,Data,Flag
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2013,7.993,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2015,1.129,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2020,1.808,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2015,7.888,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EU,European Union,2018,4.146,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2019,3.898,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2013,1.298,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SI,Slovenia,2018,5.13,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,DE,Germany,2019,1.112,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,MT,Malta,2022,0.565,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,ES,Spain,2018,3.846,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2021,2.398,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HU,Hungary,2008,3.911,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BG,Bulgaria,2022,5.453,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2011,11.889,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HU,Hungary,2010,4.056,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2016,11.874,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2022,2.319,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2010,5.282,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2008,3.839,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2019,5.03,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2018,4.519,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2012,5.451,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2010,3.543,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HU,Hungary,2022,3.946,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PL,Poland,2022,7.991,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2018,5.499,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2021,4.223,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2009,5.32,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,RO,Romania,2020,19.859,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2020,10.187,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,ES,Spain,2021,3.742,bd
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PL,Poland,2008,13.543,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HU,Hungary,2014,4.072,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2017,11.666,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BG,Bulgaria,2008,6.68,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2022,1.976,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2013,13.176,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2015,12.366,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2022,10.636,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,RO,Romania,2021,11.067,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2008,5.066,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,RO,Romania,2019,20.529,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HU,Hungary,2009,4.155,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HU,Hungary,2012,4.526,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,RO,Romania,2018,21.677,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2015,6.958,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2017,2.292,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2016,3.333,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2011,9.544,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2013,5.382,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2020,2.42,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2012,12.525,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2016,5.004,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2010,11.914,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2014,8.054,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2016,6.372,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2011,5.365,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2015,3.601,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IE,Ireland,2015,5.037,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2013,2.876,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2012,10.175,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,CY,Cyprus,2011,3.491,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EL,Greece,2009,11.306,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,PT,Portugal,2017,5.838,
